endenergiesektor;gebtyp_gemod;gebtyp_gemod_txt;bak;bak_txt;bak_von;bak_bis;q_d_spez_kwh_m2_ebf_a;quelle
NWG;1;Büro-, Verwaltungs- oder Amtsgebäude;1;Altbau (errichtet bis 1978 einschließlich);0;1978;107,6;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;1;Büro-, Verwaltungs- oder Amtsgebäude;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;64,64;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;1;Büro-, Verwaltungs- oder Amtsgebäude;3;Neubau (errichtet ab 2010) ;2010;2045;26,67;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;10;Technikgebäude (Ver- und Entsorgung);0;Gesamt;0;2045;189,36;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;10;Technikgebäude (Ver- und Entsorgung);1;Altbau (errichtet bis 1978 einschließlich);0;1978;289,78;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;10;Technikgebäude (Ver- und Entsorgung);2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;153,23;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;10;Technikgebäude (Ver- und Entsorgung);3;Neubau (errichtet ab 2010) ;2010;2045;0;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;11;Verkehrsgebäude;0;Gesamt;0;2045;421,89;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;11;Verkehrsgebäude;1;Altbau (errichtet bis 1978 einschließlich);0;1978;518,76;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;11;Verkehrsgebäude;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;330,01;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;11;Verkehrsgebäude;3;Neubau (errichtet ab 2010) ;2010;2045;273,5;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;2;Gebäude für Forschung und Hochschullehre;0;Gesamt;0;2045;291,3;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;2;Gebäude für Forschung und Hochschullehre;1;Altbau (errichtet bis 1978 einschließlich);0;1978;327,57;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;2;Gebäude für Forschung und Hochschullehre;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;272,52;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;2;Gebäude für Forschung und Hochschullehre;3;Neubau (errichtet ab 2010) ;2010;2045;63,9;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;3;Gebäude für Gesundheit und Pflege;0;Gesamt;0;2045;127,92;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;3;Gebäude für Gesundheit und Pflege;1;Altbau (errichtet bis 1978 einschließlich);0;1978;143,31;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;3;Gebäude für Gesundheit und Pflege;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;117,63;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;3;Gebäude für Gesundheit und Pflege;3;Neubau (errichtet ab 2010) ;2010;2045;81,89;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;4;Schule, Kindertagesstätte und sonstige Betreuungsgebäude;0;Gesamt;0;2045;183,5;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;4;Schule, Kindertagesstätte und sonstige Betreuungsgebäude;1;Altbau (errichtet bis 1978 einschließlich);0;1978;192,56;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;4;Schule, Kindertagesstätte und sonstige Betreuungsgebäude;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;161,28;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;4;Schule, Kindertagesstätte und sonstige Betreuungsgebäude;3;Neubau (errichtet ab 2010) ;2010;2045;129,2;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;5;Gebäude für Kultur und Freizeit;0;Gesamt;0;2045;154,66;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;5;Gebäude für Kultur und Freizeit;1;Altbau (errichtet bis 1978 einschließlich);0;1978;177,3;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;5;Gebäude für Kultur und Freizeit;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;120,16;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;5;Gebäude für Kultur und Freizeit;3;Neubau (errichtet ab 2010) ;2010;2045;28,88;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;6;Sportgebäude;0;Gesamt;0;2045;180,38;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;6;Sportgebäude;1;Altbau (errichtet bis 1978 einschließlich);0;1978;230,59;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;6;Sportgebäude;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;87,53;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;6;Sportgebäude;3;Neubau (errichtet ab 2010) ;2010;2045;38,97;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;7;Beherberbungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;0;Gesamt;0;2045;166,62;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;7;Beherberbungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;1;Altbau (errichtet bis 1978 einschließlich);0;1978;193,33;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;7;Beherberbungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;99,25;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;7;Beherberbungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;3;Neubau (errichtet ab 2010) ;2010;2045;43,34;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;8;Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;0;Gesamt;0;2045;35,62;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;8;Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;1;Altbau (errichtet bis 1978 einschließlich);0;1978;54,6;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;8;Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;23,08;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;8;Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;3;Neubau (errichtet ab 2010) ;2010;2045;9,87;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;9;Handelsgebäude;0;Gesamt;0;2045;91,09;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;9;Handelsgebäude;1;Altbau (errichtet bis 1978 einschließlich);0;1978;103,39;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;9;Handelsgebäude;2;Zwischenbau (errichtet nach 1978 aber vor 2010);1979;2009;77,73;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
NWG;9;Handelsgebäude;3;Neubau (errichtet ab 2010) ;2010;2045;54,79;2022_IWU_NWG_Typologie_V2-2.xlsm, Arbeitsblatt: q-d-spez_mI
